run,stratum,MAE,DirAcc,n_obs
dramt_t_har,news,0.03554285829886794,0.5268899700451155,22610
dramt_t_har,no_news,0.0332776689901948,0.3919736842105263,390
dramt_tg_ensemble,news,0.03314017737284303,0.5508846758081196,22610
dramt_tg_ensemble,no_news,0.02662268467247486,0.6032894736842105,390
dramt_tg_seed42,news,0.03378243604674935,0.5270717029196854,22610
dramt_tg_seed42,no_news,0.02781993942335248,0.5011842105263158,390
dramt_tg_seed43,news,0.034296981524676085,0.5300519546759772,22610
dramt_tg_seed43,no_news,0.029579486697912216,0.7782894736842105,390
dramt_tg_seed44,news,0.03575780522078276,0.5136114974060705,22610
dramt_tg_seed44,no_news,0.03301901649683714,0.5874999999999999,390
dramt_tg_seed45,news,0.03338765073567629,0.5369258045972153,22610
dramt_tg_seed45,no_news,0.02627839893102646,0.6032894736842105,390
dramt_tg_seed46,news,0.03500011935830116,0.5074622323292952,22610
dramt_tg_seed46,no_news,0.0258122393861413,0.6372368421052632,390
dramt_tg_seed47,news,0.0328843193128705,0.5582685647017052,22610
dramt_tg_seed47,no_news,0.026936082635074854,0.6032894736842105,390
dramt_tg_seed48,news,0.03456308878958225,0.5386437961264361,22610
dramt_tg_seed48,no_news,0.027655689511448145,0.6057894736842105,390
dramt_tg_seed49,news,0.033947203774005175,0.5367803634882928,22610
dramt_tg_seed49,no_news,0.027771296445280313,0.555921052631579,390
dramt_tg_seed50,news,0.03308378392830491,0.5556057079131055,22610
dramt_tg_seed50,no_news,0.02727186819538474,0.6082894736842106,390
dramt_tg_seed51,news,0.03342988342046738,0.5393406684757951,22610
dramt_tg_seed51,no_news,0.0277198594994843,0.5842105263157895,390
