run,dropped_fold,MAE,DirAcc,VaRBreach
baseline_garch,2,0.031737981780658786,0.5354202898550725,0.03188405797101449
baseline_garch,3,0.030947127750180936,0.5527536231884058,0.04057971014492754
baseline_garch_midas,none,0.032812404440868526,0.5356521739130435,0.04565217391304348
baseline_garch_midas,0,0.0348197995244608,0.5260289855072464,0.06086956521739131
baseline_garch_midas,1,0.03385503037649205,0.5284057971014493,0.0463768115942029
baseline_garch_midas,2,0.03169432124881066,0.5354202898550725,0.028985507246376812
baseline_garch_midas,3,0.030880466613710605,0.5527536231884058,0.0463768115942029
baseline_gru,none,0.03384341346099973,0.5123913043478261,
baseline_gru,0,0.03520899203916391,0.5241159420289855,
baseline_gru,1,0.03523376335700353,0.4925217391304348,
baseline_gru,2,0.03277973644435406,0.5132753623188405,
baseline_gru,3,0.03215116200347742,0.5196521739130434,
baseline_har_rv,none,0.03307559228607888,0.00013043478260869567,0.03695652173913044
baseline_har_rv,0,0.0349724020166065,5.797101449275363e-05,0.04927536231884058
baseline_har_rv,1,0.03402431000677997,0.00011594202898550725,0.03768115942028986
baseline_har_rv,2,0.03192949390643343,0.00017391304347826088,0.03188405797101449
baseline_har_rv,3,0.0313761632144956,0.00017391304347826088,0.028985507246376812
baseline_lstm,none,0.03443719865754247,0.49582608695652175,
baseline_lstm,0,0.036793154353896775,0.48626086956521747,
baseline_lstm,1,0.035559773445129395,0.4892173913043478,
baseline_lstm,2,0.03309811217089494,0.507536231884058,
baseline_lstm,3,0.032297754660248756,0.5002898550724638,
baseline_martingale,none,0.03307559228607888,0.00013043478260869567,0.05
baseline_martingale,0,0.0349724020166065,5.797101449275363e-05,0.06666666666666667
baseline_martingale,1,0.03402431000677997,0.00011594202898550725,0.05507246376811594
baseline_martingale,2,0.03192949390643343,0.00017391304347826088,0.04057971014492753
baseline_martingale,3,0.0313761632144956,0.00017391304347826088,0.03768115942028986
baseline_sentiment_lstm,none,0.03329290356487036,0.5429130434782609,
baseline_sentiment_lstm,0,0.03529049145678679,0.547304347826087,
baseline_sentiment_lstm,1,0.03464119943479697,0.520231884057971,
baseline_sentiment_lstm,2,0.03154614195227623,0.5455652173913044,
baseline_sentiment_lstm,3,0.03169378141562144,0.5585507246376812,
baseline_tft,none,0.0357619278596446,0.5125217391304349,
baseline_tft,0,0.03828559061325156,0.509623188405797,
baseline_tft,1,0.03719297206694706,0.4937971014492754,
baseline_tft,2,0.03476698003132153,0.5239420289855072,
baseline_tft,3,0.03280216872705825,0.5227246376811595,
baseline_transformer,none,0.033616391476243734,0.5290434782608695,
baseline_transformer,0,0.03560399326185385,0.5350144927536232,
baseline_transformer,1,0.03449986750880877,0.513855072463768,
baseline_transformer,2,0.032306778555115066,0.528695652173913,
baseline_transformer,3,0.03205492657919725,0.538608695652174,
dramt_ensemble,none,0.032986064441502094,0.5486521739130434,0.1
dramt_ensemble,0,0.03536697539190451,0.5206956521739131,0.13043478260869565
dramt_ensemble,1,0.033696439738074936,0.5523478260869565,0.08985507246376812
dramt_ensemble,2,0.031802598387002945,0.5512463768115942,0.0782608695652174
dramt_ensemble,3,0.031078244249025982,0.5703188405797102,0.10144927536231885
dramt_garch,none,0.033304648008197546,0.5311304347826087,0.07391304347826087
dramt_garch,0,0.035488067815701164,0.4994202898550724,0.09565217391304348
dramt_garch,1,0.03397939292093118,0.550608695652174,0.07246376811594203
dramt_garch,2,0.03229158682127794,0.5289855072463768,0.05507246376811595
dramt_garch,3,0.0314595444748799,0.5455072463768116,0.07246376811594203
dramt_gate_ext,none,0.03375152591615915,0.540695652173913,0.10869565217391305
dramt_gate_ext,0,0.036182103057702385,0.514376811594203,0.1391304347826087
dramt_gate_ext,1,0.03400080402692159,0.5485797101449276,0.09565217391304348
dramt_gate_ext,2,0.03278874605894089,0.5417391304347826,0.08695652173913045
dramt_gate_ext,3,0.032034450521071754,0.5580869565217391,0.11304347826086958
dramt_gate_ext_time,none,0.03309124242514372,0.5512173913043479,0.10434782608695652
dramt_gate_ext_time,0,0.03523919110496839,0.5322318840579711,0.13043478260869565
dramt_gate_ext_time,1,0.03412799537181854,0.5439420289855073,0.09565217391304348
dramt_gate_ext_time,2,0.03197492783268293,0.5553623188405797,0.07826086956521738
dramt_gate_ext_time,3,0.031022855391105015,0.5733333333333334,0.11304347826086956
dramt_gate_time,none,0.03283503605052829,0.5581304347826087,0.08695652173913043
dramt_gate_time,0,0.034998790050546326,0.5363478260869565,0.11304347826086956
dramt_gate_time,1,0.03383842979868253,0.5493333333333333,0.08695652173913043
dramt_gate_time,2,0.031612501169244446,0.5648115942028986,0.06086956521739131
dramt_gate_time,3,0.030890423183639843,0.5820289855072464,0.08695652173913043
dramt_gpu,none,0.03352487599477172,0.542695652173913,0.09565217391304348
dramt_gpu,0,0.035821291307608284,0.5193043478260869,0.12753623188405797
dramt_gpu,1,0.03391079045832157,0.5489275362318841,0.08695652173913043
dramt_gpu,2,0.03250540358324846,0.5452173913043479,0.06666666666666667
dramt_gpu,3,0.03186201862990856,0.5573333333333333,0.10144927536231885
dramt_lam1_2,none,0.034181511495262384,0.5083478260869566,0.03695652173913043
dramt_lam1_2,0,0.03659674028555552,0.47831884057971014,0.049275362318840575
dramt_lam1_2,1,0.035081418231129646,0.4988985507246377,0.020289855072463767
dramt_lam1_2,2,0.03265101400514444,0.5398260869565218,0.03768115942028986
dramt_lam1_2,3,0.03239687345921993,0.5163478260869566,0.04057971014492753
dramt_lam1_5,none,0.03330071922391653,0.5191739130434783,0.03260869565217392
dramt_lam1_5,0,0.03560986928641796,0.4860869565217391,0.04057971014492754
